millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
15678,1,22.07,21.80,65.79,50.00,76.15,0.00,0.00,0.00
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
15722,1,19.96,20.00,72.39,53.30,76.15,17.67,19.26,0.04
79140,1,19.96,20.10,72.56,53.70,102.44,17.67,20.26,0.04
142529,1,20.21,20.10,72.17,53.30,102.45,17.34,18.52,0.04
205922,1,20.48,20.10,71.33,53.10,102.45,17.34,19.52,0.04
269309,1,20.77,20.10,70.47,53.10,102.44,17.34,19.52,0.04
332707,1,21.07,20.10,69.68,53.10,102.44,17.34,19.52,0.04
396120,1,21.23,20.10,69.00,53.10,102.44,16.67,17.26,0.03
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
15717,1,22.20,20.50,68.19,54.40,76.15,17.34,19.52,0.04
79047,1,22.09,20.50,67.77,53.30,102.44,15.67,17.26,0.03
142538,1,22.04,20.40,67.35,53.00,102.45,435.03,278.65,0.68
217809,1,20.66,20.40,63.79,49.30,102.44,642.47,456.73,1.06
307309,1,19.86,19.10,37.42,52.20,102.44,693.12,497.49,1.15
378444,1,21.80,18.40,33.19,48.10,102.44,709.97,492.15,1.16
449500,1,23.04,18.40,33.89,49.50,102.45,701.15,458.78,1.11
520555,1,22.98,18.20,35.68,50.00,102.45,738.06,334.74,0.97
591610,1,24.66,18.60,13.09,51.10,102.45,790.59,288.14,0.95
662666,1,28.00,19.80,5.08,48.00,102.46,836.76,237.78,0.92
733721,1,29.05,20.70,0.33,43.50,102.46,867.75,170.48,0.85
804777,1,29.05,21.40,-1.08,42.80,102.47,938.44,157.15,0.89
875832,1,30.55,22.20,-2.31,41.90,102.47,995.40,167.82,0.94
946887,1,31.98,22.40,-1.95,45.70,102.47,1021.61,170.30,0.97
1017943,1,32.95,23.00,-3.64,42.20,102.46,1075.46,190.59,1.03
1088998,1,33.27,23.10,2.77,43.20,102.45,1177.64,220.25,1.15
1160054,1,33.91,23.30,21.09,43.70,102.45,1249.59,201.18,1.17
1231109,1,32.96,23.40,31.94,38.60,102.46,1335.88,187.11,1.22
1302164,1,34.04,23.60,34.36,41.30,102.46,1370.09,136.54,1.18
1373219,1,34.32,23.80,26.90,37.50,102.46,1173.92,196.07,1.11
1444274,1,33.59,23.60,21.43,38.40,102.46,1145.32,188.85,1.08
1515329,1,33.16,23.40,11.33,44.00,102.46,1207.74,59.51,0.96
1586384,1,34.00,23.40,-4.06,44.20,102.45,1232.04,56.05,0.97
1657438,1,34.46,23.70,-9.04,37.90,102.44,1306.16,43.59,1.01
1728494,1,35.13,23.90,-11.15,39.40,102.44,1323.15,11.18,0.98
1799548,1,34.98,24.20,-11.79,41.00,102.45,1312.50,-44.21,0.90
1870604,1,35.38,24.70,-11.66,41.40,102.45,1264.50,-85.47,0.81
1941659,1,34.46,24.90,-13.25,35.80,102.46,1219.77,-134.36,0.72
2012714,1,33.25,24.70,-12.89,36.10,102.46,1217.64,-139.40,0.71
2083769,1,33.68,24.40,-12.86,37.70,102.46,1242.14,-161.19,0.70
2154824,1,34.55,24.80,-12.68,38.50,102.46,1272.89,-189.69,0.68
2225880,1,34.93,25.00,-14.23,36.20,102.46,1277.31,-276.30,0.58
2296936,1,34.75,25.00,-13.56,40.50,102.46,1295.61,-356.85,0.48
2367991,1,35.09,25.10,-15.14,37.30,102.46,1293.29,-415.81,0.41
2439046,1,32.79,24.70,-16.15,34.60,102.46,1355.99,-421.84,0.44
2510101,1,33.52,24.70,-15.53,36.20,102.46,1399.08,-400.13,0.50
2581156,1,35.45,25.20,-13.49,44.00,102.47,1358.21,-413.09,0.46
2652211,1,36.00,25.50,-16.33,37.60,102.47,1284.99,-452.72,0.35
2723267,1,35.52,25.40,-17.44,34.70,102.47,1236.34,-499.76,0.26
2794322,1,34.79,25.80,-17.65,37.30,102.47,1232.70,-415.56,0.36
2865377,1,35.38,25.60,-18.53,34.70,102.47,1235.27,-369.28,0.42
2936433,1,35.43,25.60,-21.43,34.00,102.47,1261.11,-250.97,0.60
3007489,1,36.43,25.80,-21.37,36.60,102.47,1281.19,-139.26,0.76
3078544,1,36.86,26.00,-22.71,35.80,102.47,1293.03,-53.06,0.88
3149599,1,36.21,26.40,-22.95,33.50,102.47,1334.14,11.62,0.99
3220654,1,36.50,26.40,-24.18,35.50,102.47,1403.72,56.91,1.10
3291709,1,37.09,26.90,-24.99,32.70,102.47,1472.09,81.14,1.18
3362764,1,37.07,27.00,-25.52,34.00,102.47,1502.78,73.96,1.19
3433819,1,36.54,27.00,-24.42,35.50,102.47,1507.68,19.84,1.13
3504874,1,36.80,26.80,-26.25,32.40,102.48,1470.05,-72.95,0.98
3575929,1,36.02,25.90,-27.13,33.50,102.48,1451.35,-130.41,0.89
3646985,1,37.29,26.50,-27.23,35.80,102.48,1455.98,-117.16,0.91
3718040,1,37.84,26.60,-28.83,34.20,102.48,1474.34,-72.28,0.98
3789095,1,38.55,27.00,-29.12,34.60,102.48,1379.84,98.67,1.14
3860150,1,38.11,27.30,-19.00,33.30,102.49,1484.37,62.33,1.17
3931206,1,37.98,27.40,-25.00,34.70,102.49,1472.99,166.27,1.29
4002261,1,38.29,27.60,-22.32,31.80,102.50,1406.38,295.54,1.41
4073316,1,38.07,27.70,-13.79,33.80,102.50,1262.37,356.20,1.38
4144371,1,36.89,27.20,-4.70,32.30,102.49,1294.59,272.54,1.30
4215426,1,34.61,26.30,-9.70,33.10,102.49,1093.73,356.12,1.26
4286481,1,33.91,25.90,6.21,34.60,102.49,1190.00,317.08,1.28
4357537,1,32.80,25.00,-1.10,34.60,102.49,1336.78,243.77,1.29
4428592,1,33.95,25.00,-10.74,38.80,102.49,1314.97,280.67,1.32
4499648,1,32.89,25.20,-9.43,35.40,102.49,1253.60,337.04,1.35
4570703,1,33.48,25.10,-0.90,39.30,102.48,1293.87,343.49,1.39
4641758,1,33.80,25.30,-4.81,37.90,102.49,1305.04,364.22,1.43
4712814,1,34.57,25.70,-5.35,35.40,102.48,1259.11,374.92,1.41
4783870,1,32.18,24.70,-3.28,35.10,102.48,1290.04,344.36,1.39
4854926,1,32.61,24.80,-5.22,37.30,102.49,1299.40,366.87,1.42
4925981,1,34.45,25.30,-4.19,40.20,102.48,1303.01,376.50,1.44
4997036,1,34.79,25.50,-4.37,37.70,102.49,1167.32,425.18,1.40
5068092,1,33.55,25.20,5.86,35.60,102.48,1268.15,446.21,1.50
5139147,1,33.63,24.90,0.28,34.70,102.49,1125.45,477.05,1.44
5210202,1,31.87,24.60,11.87,36.30,102.49,1040.83,494.50,1.40
5281257,1,31.30,24.00,18.45,37.80,102.49,889.22,499.74,1.30
5352313,1,29.80,23.50,28.53,39.30,102.48,857.81,519.33,1.30
5423368,1,28.25,22.80,34.61,43.40,102.48,1054.40,581.76,1.52
5494433,1,28.82,22.50,33.34,45.40,102.48,1227.01,662.47,1.75
5565498,1,29.39,22.30,30.33,43.10,102.48,1054.27,570.12,1.51
5636574,1,31.32,22.90,29.72,41.50,102.48,724.26,-9.10,0.52
5707648,1,32.34,23.50,26.12,42.60,102.48,488.89,-7.57,0.35
5778734,1,34.29,24.30,27.20,45.30,102.47,497.88,67.43,0.45
5849819,1,35.70,25.20,25.92,41.60,102.47,568.32,152.77,0.61
5920904,1,36.68,26.10,26.69,39.00,102.48,971.59,219.13,0.99
5991989,1,36.27,26.00,24.51,37.50,102.47,1823.48,1051.82,2.69
6063074,1,37.70,26.50,22.84,35.00,102.47,2101.55,958.91,2.78
6134159,1,37.46,27.00,22.72,34.00,102.47,2028.63,806.72,2.53
6205255,1,37.54,27.00,22.88,33.20,102.47,2025.91,774.17,2.48
6276360,1,39.16,27.80,26.50,40.90,102.47,2002.47,722.29,2.40
