millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15683,1,22.02,21.90,70.23,52.30,76.15,1359.68,62.32,29.16,0.08
79056,1,22.05,21.70,70.34,54.10,101.35,1382.26,62.10,28.21,0.08
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,illuminance,uva,uvb,uvIndex
15717,1,22.52,21.80,69.57,51.70,76.15,961.29,29.19,25.92,0.05
79054,1,22.59,21.80,69.84,53.20,101.36,1609.68,378.41,178.07,0.51
142436,1,20.61,20.00,62.75,54.90,101.36,1609.68,391.00,180.77,0.52
205926,1,20.20,19.20,65.80,58.30,101.36,1611.29,388.78,176.82,0.51
269418,1,19.36,18.40,67.42,60.70,101.36,1609.68,375.05,167.36,0.49
332814,1,18.71,17.50,70.51,63.90,101.37,1608.06,297.29,112.67,0.36
396302,1,18.70,17.30,71.90,65.20,101.37,1608.06,304.74,118.98,0.38
460039,1,17.93,17.00,73.57,66.20,101.36,1609.68,311.85,123.77,0.39
523864,1,18.04,16.70,74.77,67.70,101.37,1608.06,317.85,128.77,0.40
588066,1,17.73,16.50,75.75,69.20,101.36,1609.68,324.08,134.13,0.41
651604,1,17.91,16.30,76.31,69.20,101.36,1609.68,327.76,133.80,0.41
715100,1,17.70,16.30,77.10,69.60,101.36,1608.06,332.99,138.16,0.42
778901,1,18.11,16.30,77.00,70.00,101.36,1609.68,335.34,139.09,0.43
842401,1,17.91,16.20,77.27,70.30,101.36,1608.06,336.02,138.76,0.43
905888,1,18.00,16.30,78.66,71.10,101.36,1611.29,338.04,137.95,0.43
969303,1,18.32,16.20,78.98,71.80,101.36,1609.68,339.49,141.26,0.43
1032760,1,18.39,16.20,78.74,72.30,101.36,1609.68,335.16,139.52,0.43
1096258,1,18.55,16.30,80.01,73.10,101.36,1609.68,325.48,132.85,0.41
1159646,1,18.23,16.40,80.92,71.70,101.37,1608.06,319.78,132.99,0.41
1223042,1,18.14,16.40,81.43,71.00,101.36,1608.06,313.53,132.44,0.40
1286421,1,17.87,16.40,81.40,70.00,101.36,1609.68,307.30,127.08,0.39
1349817,1,18.05,16.30,82.24,70.90,101.36,1608.06,308.63,128.82,0.39
1413204,1,17.75,16.30,82.41,69.90,101.36,1608.06,304.87,124.96,0.38
1476636,1,18.05,16.30,83.34,71.40,101.36,1609.68,309.53,131.44,0.40
1540086,1,18.21,16.40,82.98,71.00,101.36,1608.06,313.87,131.96,0.40
1603475,1,18.30,16.40,83.92,72.70,101.36,1609.68,317.65,135.01,0.41
1666965,1,17.54,16.40,82.83,69.70,101.36,1609.68,323.00,136.94,0.41
1730562,1,17.86,16.40,83.42,70.30,101.35,1609.68,329.25,139.49,0.42
1793958,1,17.91,16.40,83.38,70.50,101.35,1609.68,333.61,138.83,0.42
1857341,1,17.89,16.30,84.07,71.20,101.36,1609.68,338.86,140.38,0.43
1920947,1,17.86,16.40,82.08,68.40,101.36,1611.29,349.56,144.24,0.44
1984335,1,17.68,16.50,82.42,69.50,101.36,1611.29,360.49,148.46,0.46
2047818,1,18.18,16.50,81.87,69.30,101.35,1611.29,371.31,154.89,0.47
2111311,1,18.82,16.60,80.55,69.70,101.36,1611.29,380.46,158.06,0.48
2174699,1,19.09,16.70,79.43,70.40,101.36,1612.90,391.39,162.28,0.50
2238096,1,19.27,16.90,78.11,69.50,101.36,1612.90,398.44,162.07,0.50
