millis,arduinoId,temp,humidity,pressure,uva,uvb,uvIndex
42944,2,21.31,47.77,76.15,4.17,15.36,0.02
106276,2,21.23,47.39,101.39,4.04,14.38,0.02
millis,arduinoId,temp,humidity,pressure,uva,uvb,uvIndex
15797,2,21.29,48.36,76.15,-0.39,9.26,0.01
79168,2,21.18,47.39,101.39,3.51,14.88,0.02
142562,2,21.03,47.02,101.40,0.94,12.00,0.02
206039,2,20.92,47.41,101.41,1.59,11.07,0.02
269453,2,20.89,47.52,101.40,4.02,14.19,0.02
332780,2,20.92,48.45,101.41,782.80,517.68,1.24
422218,2,19.76,36.46,101.41,1052.19,688.57,1.66
493357,2,20.61,32.11,101.41,1040.34,693.91,1.66
564405,2,21.65,32.16,101.41,1114.66,736.47,1.77
635453,2,21.58,33.73,101.41,1103.55,730.91,1.75
706501,2,21.54,36.66,101.42,1170.70,769.94,1.85
777550,2,21.73,34.99,101.41,1229.37,818.26,1.96
848598,2,21.58,30.58,101.42,1219.99,813.90,1.95
919646,2,21.67,31.09,101.41,1347.50,886.07,2.13
990695,2,22.44,25.80,101.42,1395.46,933.58,2.23
1061743,2,23.66,21.98,101.43,1369.71,919.24,2.19
1132792,2,23.53,22.09,101.42,1556.50,1057.51,2.51
1203840,2,24.82,9.80,101.43,1686.80,1163.26,2.74
1274899,2,26.61,-9.01,101.45,1490.26,1019.39,2.41
1345947,2,26.61,12.22,101.43,1467.97,994.83,2.36
1416995,2,25.57,12.23,101.43,1620.90,1099.43,2.61
1488043,2,25.72,0.64,101.44,1429.96,974.56,2.31
1559092,2,26.21,13.19,101.43,1239.95,836.49,1.99
1630140,2,25.53,15.64,101.43,1076.61,731.02,1.73
1701209,2,25.30,19.02,101.43,1040.66,698.58,1.67
1772257,2,24.39,22.54,101.43,1181.38,797.52,1.90
1843305,2,24.15,21.54,101.43,1280.45,864.79,2.06
1914354,2,24.00,19.76,101.44,1370.43,924.46,2.20
1985412,2,24.18,17.85,101.45,1351.26,905.50,2.15
2056460,2,24.42,16.50,101.44,1408.50,956.66,2.27
2127509,2,25.08,17.57,101.45,1425.34,962.29,2.29
2198557,2,25.19,16.93,101.44,1443.62,973.44,2.32
2269606,2,24.66,16.66,101.44,1351.35,920.04,2.18
2340654,2,22.86,22.34,101.44,1348.74,929.95,2.19
2411702,2,22.91,25.56,101.44,1405.02,966.73,2.28
2482751,2,23.77,25.88,101.44,1523.96,1045.91,2.47
2553799,2,24.18,15.96,101.46,1567.12,1085.95,2.55
2624848,2,25.77,14.98,101.46,1395.45,938.71,2.24
2695906,2,25.19,21.60,101.46,1367.31,924.32,2.20
2766955,2,25.28,23.47,101.46,1393.08,938.42,2.23
2838003,2,24.42,23.85,101.46,2087.65,1366.05,3.29
2909051,2,25.08,-37.97,101.50,2094.29,1378.58,3.32
2980100,2,29.41,-47.42,101.51,1781.63,1190.29,2.84
3051148,2,29.85,-7.12,101.47,2315.28,1526.66,3.67
3122196,2,31.71,-43.78,101.48,1945.64,1317.10,3.13
3193245,2,32.67,-14.31,101.46,1768.88,1218.18,2.87
3264293,2,31.91,-7.62,101.46,1409.79,960.17,2.27
3335341,2,30.36,-0.34,101.46,1094.84,760.12,1.78
3406400,2,29.36,13.10,101.45,779.91,527.98,1.25
3477448,2,27.43,20.83,101.46,605.04,412.27,0.98
3548496,2,25.00,26.64,101.45,562.67,381.95,0.91
3619545,2,22.20,31.33,101.45,643.22,442.10,1.04
3690593,2,20.92,33.07,101.46,690.57,479.86,1.13
3761641,2,20.23,34.77,101.45,841.01,578.05,1.36
3832690,2,20.25,33.23,101.45,1127.88,791.19,1.85
3903738,2,20.71,30.81,101.45,1270.68,890.09,2.08
3974786,2,21.60,27.25,101.45,1143.76,786.05,1.85
4045834,2,22.67,26.30,101.46,1061.08,735.92,1.73
4116883,2,23.60,25.50,101.46,1104.94,754.19,1.78
4187941,2,23.93,22.62,101.46,1095.04,758.91,1.78
4258990,2,24.31,24.29,101.47,1019.33,702.64,1.65
4330038,2,24.13,24.55,101.46,1166.16,801.94,1.89
4401086,2,22.80,23.13,101.46,1518.42,1038.65,2.45
4472135,2,23.37,18.94,101.46,1930.13,1290.88,3.08
4543183,2,25.02,3.68,101.47,2121.40,1395.43,3.36
4614242,2,29.59,-16.72,101.48,1726.57,1188.51,2.80
4685310,2,30.27,4.51,101.47,2321.83,1492.81,3.63
4756379,2,32.45,-44.33,101.49,1677.50,1076.80,2.62
4827447,2,33.13,-30.08,101.49,578.65,398.10,0.94
4898525,2,29.18,21.29,101.48,503.28,334.55,0.80
4969593,2,26.83,27.70,101.48,763.44,515.62,1.23
5040662,2,24.53,31.30,101.48,1117.82,777.53,1.82
5111730,2,22.76,30.75,101.47,2423.89,1487.05,3.70
5182799,2,25.33,-42.23,101.50,1158.17,759.61,1.83
5253877,2,27.68,13.85,101.49,902.82,608.04,1.44
5324955,2,26.08,21.58,101.48,912.34,597.16,1.44
5396034,2,24.28,26.97,101.49,1154.94,813.10,1.90
5467132,2,23.82,33.14,101.49,1404.16,986.43,2.30
5538230,2,23.13,31.80,101.49,2939.88,1798.01,4.48
5609359,2,31.78,-47.46,101.51,3258.31,1977.33,5.01
5680477,2,35.73,-60.05,101.51,3421.20,2138.41,5.27
5751595,2,37.50,-62.15,101.50,2124.81,1447.66,3.43
5822713,2,39.90,-8.66,101.48,2059.28,1398.93,3.32
5893832,2,37.15,-11.20,101.48,3430.40,2176.62,5.33
5964950,2,41.40,-64.86,101.50,3467.72,2226.96,5.42
6036068,2,40.40,-66.98,101.50,1620.81,1118.36,2.63
6107186,2,35.55,0.17,101.48,1282.36,869.56,2.06
6178304,2,31.96,6.06,101.48,1176.40,823.08,1.93
6249422,2,29.98,11.00,101.49,1149.11,818.32,1.90
6320550,2,28.08,13.77,101.48,1019.83,728.34,1.69
6391669,2,26.86,17.65,101.49,1029.28,740.25,1.71
6462787,2,26.12,20.07,101.48,879.31,627.99,1.46
6533906,2,24.91,24.24,101.48,640.26,453.71,1.06
6605024,2,23.22,30.44,101.49,493.12,353.29,0.82
6676143,2,22.40,34.73,101.49,542.17,395.51,0.91
6747261,2,21.42,35.60,101.49,535.06,385.35,0.89
6818379,2,20.98,37.24,101.49,594.53,432.48,0.99
6889498,2,21.42,37.45,101.49,594.93,433.00,1.00
6960616,2,21.67,38.31,101.50,603.81,436.43,1.01
7031745,2,21.43,38.36,101.51,565.12,407.35,0.94
7093191,2,21.36,39.03,101.51,517.17,376.31,0.87
7154222,2,21.33,40.52,101.51,505.76,365.38,0.84
7215254,2,21.33,41.66,101.52,574.62,416.82,0.96
7276285,2,20.78,40.03,101.51,616.98,443.36,1.03
7337316,2,21.00,39.77,101.52,653.69,467.83,1.08
7398363,2,21.00,38.40,101.51,765.93,542.63,1.26
7459394,2,21.12,36.20,101.51,1005.73,712.36,1.66
7520425,2,21.98,30.81,101.51,1294.17,909.21,2.12
7581456,2,23.17,26.34,101.51,1553.30,1091.68,2.55
7642487,2,24.18,21.48,101.51,1615.77,1137.84,2.65
7703520,2,24.71,18.12,101.52,1409.84,987.36,2.31
7764551,2,24.97,18.26,101.52,1252.85,882.28,2.06
7825582,2,24.68,22.38,101.52,1218.93,872.81,2.02
7886613,2,24.08,24.13,101.52,1138.47,818.06,1.89
7947644,2,24.18,26.89,101.52,940.86,671.51,1.56
8008675,2,23.71,28.95,101.52,738.11,526.57,1.22
8069706,2,23.17,32.70,101.52,590.51,426.43,0.98
8130737,2,22.31,35.62,101.52,491.20,353.85,0.82
8191768,2,21.74,38.06,101.52,429.75,312.71,0.72
8252798,2,21.03,39.91,101.52,415.82,300.49,0.69
8313832,2,20.72,41.62,101.52,468.43,336.38,0.78
8374863,2,20.49,40.89,101.52,535.43,384.21,0.89
8435894,2,20.58,40.43,101.52,611.22,432.70,1.01
8496925,2,19.98,38.97,101.52,882.67,627.50,1.46
8557956,2,20.54,36.73,101.52,1052.66,740.58,1.73
8618987,2,21.43,33.60,101.52,4.51,15.88,0.02
8680018,2,21.02,50.24,101.52,4.08,15.76,0.02
8741048,2,22.07,49.44,101.53,5.43,17.69,0.03
8802079,2,22.84,47.83,101.53,10.43,25.69,0.04
8863110,2,23.71,46.59,101.53,8.44,23.10,0.04
8924141,2,24.24,45.45,101.53,15.77,32.84,0.05
8985175,2,24.62,44.66,101.53,15.77,32.84,0.05
9046206,2,24.93,43.95,101.53,16.65,35.27,0.06
9107237,2,25.20,43.39,101.53,16.31,33.75,0.06
9168268,2,25.37,43.01,101.53,16.64,34.49,0.06
9229299,2,25.62,42.67,101.52,14.51,31.51,0.05
9290329,2,25.72,42.58,101.52,10.83,26.84,0.04
9351360,2,25.82,42.39,101.53,7.93,21.22,0.03
9412391,2,25.92,42.24,101.53,6.70,18.86,0.03
9473422,2,26.01,42.11,101.53,5.03,16.60,0.03
9534453,2,26.06,42.01,101.53,3.58,14.29,0.02
9595484,2,26.06,41.85,101.53,2.58,14.29,0.02
9656518,2,26.13,41.81,101.54,2.58,14.29,0.02
9717549,2,26.13,41.72,101.54,2.58,14.29,0.02
9778579,2,26.13,41.69,101.54,2.25,13.55,0.02
9839610,2,26.21,41.54,101.54,0.70,11.86,0.02
9900641,2,26.24,41.40,101.55,3.37,14.12,0.02
9961672,2,26.23,41.20,101.54,1.27,12.74,0.02
10022703,2,26.24,41.06,101.55,3.61,15.26,0.02
10083734,2,26.32,40.89,101.55,-0.04,11.19,0.01
10144765,2,26.32,40.69,101.55,2.41,14.50,0.02
10205795,2,26.33,40.59,101.56,3.86,16.81,0.02
10266826,2,26.33,40.51,101.56,4.98,18.38,0.03
10327860,2,26.41,40.39,101.57,5.21,18.74,0.03
10388891,2,26.39,40.26,101.57,5.33,19.31,0.03
10449922,2,26.46,40.17,101.56,9.11,24.36,0.04
10510953,2,26.46,40.07,101.57,11.01,25.98,0.04
10571984,2,26.46,40.00,101.57,13.69,30.65,0.05
10633015,2,26.52,39.87,101.57,13.92,33.01,0.05
10694046,2,26.41,39.85,101.57,19.59,40.27,0.06
10755076,2,26.52,39.92,101.57,16.82,35.63,0.06
10816107,2,26.52,39.92,101.56,18.59,38.27,0.06
10877138,2,26.64,39.85,101.57,14.81,33.22,0.05
10938181,2,26.64,39.66,101.57,15.03,33.17,0.05
10999212,2,26.64,39.57,101.57,10.48,27.48,0.04
11060243,2,26.59,39.70,101.58,14.03,32.17,0.05
11121274,2,26.72,39.58,101.58,12.48,30.48,0.05
11182304,2,26.70,39.63,101.58,14.71,32.84,0.05
11243335,2,26.70,39.46,101.58,18.16,38.15,0.06
11304366,2,26.77,39.37,101.57,18.49,38.89,0.06
11365397,2,26.75,39.43,101.57,15.23,33.93,0.06
11426428,2,26.74,39.47,101.57,15.11,34.36,0.06
11487459,2,26.44,39.82,101.58,11.66,29.05,0.05
11548490,2,26.66,39.71,101.58,10.76,28.43,0.04
11609524,2,26.81,39.54,101.58,10.31,26.12,0.04
11670555,2,26.83,39.40,101.58,9.19,25.55,0.04
11731585,2,26.86,39.50,101.57,8.74,25.24,0.04
11792616,2,26.86,39.52,101.58,8.07,22.98,0.04
11853647,2,26.88,39.57,101.58,7.29,22.93,0.04
11914678,2,26.92,39.51,101.58,4.84,17.62,0.03
11975709,2,26.83,39.57,101.58,2.84,16.62,0.02
12036740,2,26.84,39.57,101.59,2.18,14.14,0.02
12097771,2,26.88,39.57,101.58,1.63,14.45,0.02
12158802,2,26.94,39.48,101.59,2.08,15.76,0.02
12219832,2,26.86,39.45,101.59,2.53,16.07,0.02
12280866,2,26.95,39.34,101.59,5.65,20.64,0.03
12341913,2,26.95,39.30,101.59,6.65,22.64,0.03
12402945,2,27.01,39.17,101.59,7.55,22.26,0.03
12463976,2,26.97,39.00,101.59,9.00,25.57,0.04
12525006,2,27.04,38.86,101.60,11.78,30.62,0.05
12586037,2,27.06,38.93,101.60,14.11,32.36,0.05
12647068,2,27.12,38.91,101.60,15.89,35.41,0.06
12708099,2,27.08,38.88,101.60,17.44,37.10,0.06
12769130,2,27.10,38.91,101.60,15.32,34.53,0.06
12830161,2,27.10,38.96,101.60,14.54,33.48,0.05
12891191,2,27.06,38.94,101.60,11.42,28.91,0.05
12952225,2,27.12,39.00,101.60,8.52,24.29,0.04
13013256,2,27.12,39.12,101.60,10.95,26.41,0.04
13074287,2,27.08,39.17,101.59,7.83,22.84,0.04
13135318,2,27.06,39.30,101.61,8.60,22.48,0.04
13196349,2,27.03,39.39,101.61,6.15,19.17,0.03
13257380,2,26.99,39.51,101.61,3.70,15.86,0.02
13318410,2,26.94,39.73,101.61,2.70,14.86,0.02
13379441,2,26.95,39.62,101.62,1.70,13.86,0.02
13440472,2,26.97,39.60,101.62,2.70,14.86,0.02
13501503,2,26.94,39.66,101.62,3.15,15.17,0.02
13562534,2,26.90,39.65,101.62,6.15,19.17,0.03
13623568,2,26.88,39.62,101.62,6.60,20.48,0.03
13684599,2,26.90,39.51,101.62,5.27,18.74,0.03
13745629,2,26.92,39.45,101.63,6.27,19.74,0.03
13806660,2,26.84,39.45,101.63,7.05,20.79,0.03
13867691,2,26.90,39.49,101.63,5.72,20.05,0.03
13928722,2,26.86,39.29,101.64,6.39,20.31,0.03
13989753,2,26.88,39.40,101.64,7.84,22.62,0.04
14050784,2,26.88,39.28,101.64,5.74,20.24,0.03
14111815,2,26.86,39.27,101.63,7.74,23.24,0.04
14172845,2,26.86,39.13,101.64,9.41,24.50,0.04
14233876,2,26.86,39.15,101.64,8.86,23.81,0.04
14294910,2,26.84,39.07,101.64,8.76,25.43,0.04
14355941,2,26.94,38.95,101.64,13.21,30.74,0.05
14416972,2,26.95,38.85,101.65,12.11,30.36,0.05
14478003,2,26.95,38.87,101.64,14.78,34.62,0.06
14539034,2,26.97,38.77,101.65,15.23,34.93,0.06
14600065,2,26.97,38.63,101.65,16.68,36.24,0.06
14661095,2,26.95,38.64,101.65,16.13,35.55,0.06
14722126,2,26.94,38.60,101.64,17.13,37.55,0.06
14783157,2,26.97,38.59,101.65,13.58,32.86,0.05
14844188,2,26.99,38.59,101.65,15.13,34.55,0.06
14905222,2,27.04,38.63,101.64,15.46,35.29,0.06
14966253,2,27.06,38.66,101.65,16.34,36.72,0.06
15027284,2,27.04,38.71,101.65,15.89,35.41,0.06
15088314,2,27.01,38.70,101.65,14.44,33.10,0.05
15149345,2,27.06,38.72,101.65,14.32,32.53,0.05
15210376,2,27.10,38.84,101.66,14.32,32.53,0.05
15271407,2,27.06,38.78,101.65,14.87,33.22,0.05
15332438,2,27.01,38.91,101.65,14.09,31.17,0.05
15393469,2,27.04,38.86,101.66,12.42,28.91,0.05
15454500,2,27.03,38.86,101.65,10.09,26.17,0.04
15515530,2,27.04,38.84,101.64,10.19,26.55,0.04
15576564,2,27.04,38.82,101.65,7.19,26.24,0.04
15637595,2,27.06,38.88,101.65,9.97,25.60,0.04
15698626,2,27.03,38.91,101.65,10.97,27.60,0.04
15759657,2,27.08,38.85,101.65,9.19,25.55,0.04
15820688,2,27.01,38.93,101.65,5.96,21.19,0.03
15881719,2,26.97,39.01,101.66,5.18,19.14,0.03
15942749,2,26.99,39.00,101.66,5.41,19.50,0.03
16003780,2,26.99,38.88,101.66,7.86,23.81,0.04
16064811,2,26.97,38.90,101.65,9.86,25.81,0.04
16125842,2,27.03,38.91,101.66,9.64,25.86,0.04
16186873,2,27.03,38.91,101.65,11.64,28.86,0.05
16247916,2,27.04,38.89,101.66,10.64,26.86,0.04
16308946,2,27.01,38.88,101.65,9.31,24.12,0.04
16369977,2,26.99,38.88,101.66,5.98,20.38,0.03
16431008,2,27.03,38.81,101.65,4.65,19.64,0.03
16492039,2,27.03,38.74,101.65,8.55,24.26,0.04
16553070,2,26.99,38.68,101.65,11.45,29.88,0.05
16614101,2,26.97,38.60,101.65,13.23,30.93,0.05
16675132,2,27.01,38.64,101.66,13.56,31.67,0.05
16736162,2,27.06,38.67,101.66,13.11,31.36,0.05
