millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
29100,2,19.60,20.40,78.24,69.10,76.15,-8.37,-1.55,-0.01
98611,2,19.58,19.80,78.00,69.30,100.68,-7.37,0.45,-0.00
162328,2,19.87,19.70,78.36,69.60,100.68,-7.37,-0.55,-0.01
millis,arduinoId,temp,temp_dht22,humidity,humidity_dht22,pressure,uva,uvb,uvIndex
15734,2,20.12,20.30,73.26,63.70,76.15,33.59,19.70,0.05
79121,2,20.05,20.20,73.57,64.70,101.18,26.35,19.56,0.04
142511,2,20.32,20.30,72.63,63.90,101.19,13.58,15.29,0.03
205902,2,20.41,20.20,70.31,61.20,101.18,24.35,19.56,0.04
269399,2,20.60,20.20,69.47,61.50,101.18,27.82,19.06,0.05
332884,2,20.91,20.20,67.18,59.90,101.18,950.08,1114.02,2.14
466218,2,20.96,20.00,25.96,55.10,101.18,994.97,1113.14,2.17
555956,2,25.28,20.80,11.84,52.00,101.18,986.59,1057.21,2.09
627091,2,26.86,21.50,9.51,49.50,101.18,1021.36,1004.54,2.05
698147,2,27.57,21.90,1.95,49.10,101.19,977.63,906.08,1.89
769201,2,29.03,22.40,-4.13,49.20,101.19,1057.92,907.96,1.95
840257,2,29.83,23.20,-3.98,46.10,101.19,914.75,729.34,1.61
911312,2,28.77,22.70,19.45,47.60,101.19,753.60,508.75,1.21
982368,2,27.17,21.60,31.08,50.50,101.20,1139.42,931.31,2.04
1053424,2,27.50,21.70,-2.82,49.90,101.20,852.30,600.54,1.40
1124479,2,27.63,21.70,21.18,49.00,101.21,803.02,570.46,1.33
1195535,2,26.81,21.10,33.00,51.20,101.21,700.66,501.89,1.16
1266590,2,27.15,21.10,37.69,52.80,101.22,664.56,447.94,1.07
1337646,2,23.91,19.80,44.71,52.40,101.21,892.30,721.56,1.59
1408702,2,23.22,19.20,20.51,54.90,101.22,909.45,733.84,1.62
1479757,2,25.75,19.90,17.28,55.40,101.22,698.50,465.60,1.11
1550813,2,25.02,19.70,43.62,54.60,101.22,870.49,748.16,1.61
1621868,2,25.37,19.70,3.24,54.40,101.22,922.77,783.48,1.69
1692924,2,27.54,20.70,0.01,53.30,101.23,1003.44,852.65,1.84
1763980,2,28.79,21.60,-5.75,49.30,101.23,716.22,489.62,1.16
1835035,2,24.37,20.00,38.76,50.70,101.23,667.98,456.65,1.08
1906091,2,21.84,18.50,47.28,55.80,101.23,687.97,464.30,1.10
1977147,2,19.58,17.20,51.57,58.20,101.23,699.81,467.35,1.12
2048202,2,18.70,16.40,55.76,62.00,101.22,707.88,471.56,1.13
2119258,2,18.99,16.10,57.39,63.30,101.23,746.08,530.55,1.23
2190313,2,17.85,15.50,57.39,64.10,101.23,712.18,612.14,1.31
2261369,2,19.52,15.90,25.56,65.00,101.22,757.74,675.29,1.43
2332424,2,22.56,17.50,15.90,60.00,101.22,821.68,764.66,1.59
2403480,2,26.21,19.10,10.92,57.50,101.22,836.12,783.19,1.63
2474535,2,27.55,20.00,8.02,53.50,101.22,839.03,806.75,1.66
2545591,2,29.12,21.10,7.08,51.30,101.22,815.01,790.29,1.62
2616647,2,29.01,21.60,7.19,48.80,101.22,800.05,802.56,1.62
2687702,2,29.59,21.80,7.25,47.20,101.22,805.94,826.23,1.66
2758758,2,29.56,22.20,5.39,45.10,101.22,837.34,851.41,1.71
2829813,2,30.65,22.60,5.82,47.60,101.23,831.99,840.74,1.70
2900869,2,31.18,22.70,5.87,46.70,101.23,839.42,839.12,1.70
2971923,2,30.56,23.00,6.61,43.80,101.23,833.95,820.25,1.67
3042979,2,30.40,23.10,10.71,43.40,101.24,861.81,827.32,1.70
3114034,2,30.58,22.90,14.72,44.30,101.24,857.22,822.65,1.69
3185090,2,31.12,23.10,19.81,45.10,101.25,827.66,804.52,1.65
3256145,2,31.23,23.20,23.33,41.40,101.25,827.79,788.30,1.63
3327200,2,31.51,23.40,27.06,43.00,101.25,806.46,752.02,1.56
3398256,2,30.12,23.10,28.03,41.40,101.25,812.36,737.64,1.55
3469310,2,30.16,23.20,30.67,44.60,101.25,799.36,590.64,1.35
3540366,2,29.67,22.90,32.77,42.40,101.25,829.83,763.08,1.59
3611421,2,31.78,23.80,28.68,43.30,101.25,910.96,818.29,1.73
3682477,2,32.67,24.50,25.74,42.40,101.26,820.63,779.29,1.61
3753532,2,32.78,24.70,26.19,40.30,101.26,826.20,776.17,1.61
3824588,2,31.87,24.50,24.82,38.30,101.26,935.65,836.51,1.77
3895644,2,32.71,24.40,22.86,40.80,101.27,870.90,801.20,1.67
3966699,2,33.46,24.70,21.92,40.60,101.27,860.98,808.79,1.68
4037755,2,33.60,24.80,21.83,41.40,101.27,853.08,821.61,1.69
4108811,2,32.31,24.70,24.58,40.40,101.27,799.25,748.82,1.55
4179867,2,32.05,24.40,25.01,41.20,101.27,864.54,759.33,1.62
4250923,2,33.31,24.90,26.06,39.30,101.27,799.29,553.09,1.30
4321979,2,33.84,25.10,29.77,39.70,101.27,841.87,805.50,1.66
4393034,2,32.35,24.70,25.31,41.50,101.27,762.17,722.72,1.49
4464088,2,29.92,23.40,25.70,43.00,101.28,855.51,677.73,1.50
4535144,2,31.49,23.60,30.19,43.90,101.28,834.50,605.58,1.39
4606199,2,31.02,23.60,32.97,43.10,101.28,869.56,748.19,1.60
4677254,2,30.72,23.40,30.35,42.30,101.28,821.29,574.52,1.34
4748310,2,30.51,23.10,34.49,43.20,101.28,852.36,753.07,1.60
4819365,2,32.51,24.10,29.09,44.30,101.28,884.20,769.69,1.64
4890421,2,34.20,25.10,26.53,40.60,101.28,889.34,745.88,1.62
4961477,2,34.26,25.50,27.34,41.40,101.29,896.90,727.64,1.60
5032532,2,33.62,25.40,26.79,37.50,101.29,882.21,734.93,1.60
5103598,2,33.40,25.00,26.11,40.10,101.29,839.13,593.57,1.38
5174664,2,34.29,25.00,31.15,40.50,101.29,906.51,782.81,1.68
5245740,2,33.80,25.00,26.30,39.00,101.29,950.92,841.91,1.79
5316815,2,35.71,25.80,26.94,40.70,101.29,931.19,829.85,1.76
5387901,2,34.37,26.10,24.94,36.00,101.30,939.02,835.32,1.77
5458986,2,33.58,25.40,24.78,36.40,101.30,917.06,707.11,1.59
5530072,2,32.55,25.20,29.02,36.50,101.30,875.80,759.26,1.62
5601168,2,29.89,23.80,27.30,37.20,101.30,892.01,756.94,1.63
5672273,2,31.65,24.20,27.71,40.30,101.30,934.76,758.82,1.67
5743379,2,33.15,24.70,27.42,40.00,101.30,988.35,792.89,1.75
5814484,2,35.70,25.70,25.03,40.10,101.30,1015.20,780.75,1.75
5885580,2,33.78,25.70,21.91,35.20,101.30,1051.87,805.78,1.81
5956686,2,35.19,26.40,20.86,37.00,101.30,1204.83,918.77,2.07
6027801,2,36.75,27.30,14.22,37.30,101.30,1334.92,1014.57,2.29
